citymarketid,city_name,state,markets,cur_passengers,cur_fare
34321,Portland,ME,3,101980,196.99
30140,Albuquerque,NM,15,525360,225.86
30257,Albany,NY,5,199780,213.31
30466,Phoenix,AZ,67,6562330,238.13
33316,Omaha,NE,14,494750,232.86
32211,Las Vegas,NV,67,6919380,225.19
31057,Charlotte,NC,36,2231190,254.87
31703,New York City,NY,75,14874350,249.34
31066,Columbus,OH,21,1063340,229.5
33195,Tampa,FL,55,4252060,207.25
30615,El Paso,TX,12,398800,228.04
30849,Bozeman,MT,7,171830,271.69
32467,Miami,FL,59,8974870,226.44
33342,Milwaukee,WI,16,782550,216.0
34986,Sarasota/Bradenton,FL,19,714900,215.29
31295,Detroit,MI,33,2885180,254.96
33667,Norfolk,VA,14,392930,241.15
30158,Atlantic City,NJ,5,132350,94.69
34614,Salt Lake City,UT,33,2723600,279.48
30325,Denver,CO,65,6352790,209.94
33570,San Diego,CA,38,3312670,238.3
31136,Jacksonville,FL,20,900360,242.93
31714,Fort Myers,FL,35,2531950,229.44
34492,Raleigh/Durham,NC,26,1747130,228.1
30852,Washington,DC,67,7735850,239.97
31603,Eugene,OR,4,111880,182.46
34057,Portland,OR,27,1783470,234.67
30436,Tucson,AZ,13,425850,253.49
33198,Kansas City,MO,27,1343050,234.55
34761,Sanford,FL,7,153870,110.67
30599,Birmingham,AL,9,253790,253.84
31986,Grand Rapids,MI,15,488080,212.83
34576,Rochester,NY,5,165220,202.98
30189,Colorado Springs,CO,4,131190,180.67
31454,Orlando,FL,61,8206420,202.14
31624,Key West,FL,5,133130,324.39
32457,San Francisco,CA,47,7313220,254.82
34027,West Palm Beach/Palm Beach,FL,17,1612520,240.65
30713,Boise,ID,12,487120,208.14
30977,Chicago,IL,58,7605920,228.64
32337,Indianapolis,IN,22,1315040,235.88
33495,New Orleans,LA,29,1904910,224.66
31135,Myrtle Beach,SC,4,132110,151.79
34524,Richmond,VA,13,482280,226.25
30559,Seattle,WA,48,4176720,230.29
33214,San Antonio,TX,27,1269930,237.03
33105,Cincinnati,OH,25,1040320,219.13
34685,Savannah,GA,8,302210,233.65
30397,Atlanta,GA,52,5616750,238.54
31871,Greenville/Spartanburg,SC,4,110220,241.82
34082,Punta Gorda,FL,6,132610,135.55
30194,Dallas/Fort Worth,TX,68,6738700,245.48
35412,Knoxville,TN,8,183040,218.75
31638,Fresno,CA,4,106010,182.25
33044,Louisville,KY,13,427770,221.51
33851,Oklahoma City,OK,11,343070,247.27
30721,Boston,MA,47,5870990,241.45
33158,Midland/Odessa,TX,2,100960,237.9
34100,Philadelphia,PA,37,2785110,255.99
30693,Nashville,TN,37,2447850,221.09
31453,Houston,TX,55,4708460,240.4
30529,Hartford,CT,17,737350,219.17
34570,Reno,NV,10,453550,207.14
32244,New Haven,CT,6,166930,116.56
31884,Spokane,WA,11,392620,217.47
31123,St. Louis,MO,28,1477450,237.17
33244,Memphis,TN,14,498600,230.3
30994,Charleston,SC,16,617650,233.19
30423,Austin,TX,34,2513640,237.52
34653,Tulsa,OK,7,184290,231.7
33485,Madison,WI,5,123580,230.63
31650,Minneapolis/St. Paul,MN,43,3449700,239.73
31423,Des Moines,IA,10,246170,234.43
33192,Sacramento,CA,22,1577270,208.91
30792,Buffalo,NY,12,545500,198.2
30198,Pittsburgh,PA,23,1117460,223.01
35096,Syracuse,NY,6,214220,175.51
32575,Los Angeles,CA,67,11533160,252.54
30647,Cleveland,OH,22,1280280,210.37
34262,Palm Springs,CA,9,460030,260.3
33728,Pensacola,FL,6,143070,220.23
